tip_label,species,action
Spiraea_decumbens_hacquetii_1534662_PHA008872_BGN_KAP,Spiraea_decumbens,direct match
Sorbus_chamaemespilus_1000427_PHA008822_BGN_BRI,Sorbus_chamaemespilus,direct match
Sorbus_aucuparia_36599_TROM_V_174190_BMB_AB,Sorbus_aucuparia,direct match
Sorbus_aria_186520_PHA010046_BGN_MCE,Sorbus_aria,direct match
Solidago_virgaurea_subsp_minuta_1534656_PHA008803_BGN_EAI,Solidago_virgaurea,direct match
Soldanella_pusilla_152132_CLA010168_BGN_MTT,Soldanella_pusilla,direct match
Soldanella_montana_59825_CLA010158_BGN_NNS,Soldanella_montana,direct match
Soldanella_minima_ssp_samnitica_152127_CLA010156_BGN_MTN,Soldanella_minima,direct match
Soldanella_hungarica_152121_CLA010141_BGN_MTE,Soldanella_major,direct match
Soldanella_austriaca_152126_PHA008766_BGN_ALK,Soldanella_austriaca,direct match
Soldanella_alpina_cantabrica_1924223_CLA010117_GWM_1243,Soldanella_alpina,direct match
Solanum_dulcamara_45834_PHA008756_BGN_BRG,Solanum_dulcamara,direct match
Silene_vulgaris_42043_TROM_V_962979_BXA_BED,Silene_vulgaris,direct match
Silene_saxifraga_39912_PHA008684_BGN_BRE,Silene_saxifraga,direct match
Silene_nutans_dubia_1851444_CAR008660_BGN_MEV,Silene_nutans,direct match
Silene_flos-cuculi_42036_PHA008635_BGN_BRD,Lychnis_flos-cuculi,direct match
Silene_exscapa_39862_PHA008628_BGN_EAH,Silene_acaulis,direct match
Silene_elisabethae_39881_PHA008625_BGN_HPQ,Silene_elisabethae,direct match
Silene_dioica_39879_PHA008624_BGN_BRC,Silene_dioica,direct match
Sibbaldia_procumbens_57947_TROM_V_162365_BMB_PC,Sibbaldia_procumbens,direct match
Sesleria_sphaerocephala_1534647_PHA008567_BGN_HPK,Sesleriella_sphaerocephala,direct match
Sesleria_ovata_376134_PHA008562_BGN_GML,Psilathera_ovata,direct match
Seseli_libanotis_intermedium_1907932_CAR008531_BGN_NEV,Seseli_libanotis,direct match
Seseli_kochii_1534644_PHA008526_BGN_HPG,Seseli_kochii,direct match
Seseli_austriacum_1534641_PHA008515_BGN_CPR,Seseli_austriacum,direct match
Serratula_tinctoria_tinctoria_305392_PHA008505_BGN_GKL,Serratula_tinctoria,direct match
Senecio_viscosus_85882_PHA008493_BGN_BRA,Senecio_viscosus,direct match
Senecio_subalpinus_189250_PHA008487_BGN_CPQ,Senecio_subalpinus,direct match
Senecio_rupestris_121553_PHA008485_BGN_FCI,Senecio_rupestris,direct match
Senecio_incanus_insubricus_1533151_PHA008473_BGN_HPE,Senecio_insubricus,direct match
Senecio_incanus_carniolicus_189240_PHA008467_BGN_HPD,Senecio_carniolicus,direct match
Senecio_doronicum_gerardii_1268578_PHA008447_BGN_CKI,Senecio_doronicum,direct match
Senecio_alpinus_189227_PHA008435_BGN_BQT,Senecio_alpinus,direct match
Senecio_abrotanifolius_tirolensis_1671106_PHA008429_BGN_HPA,Senecio_abrotanifolius,direct match
Scrophularia_scopolii_1357653_PHA008316_BGN_KAG,Scrophularia_scopolii,direct match
Scrophularia_nodosa_90363_PHA008313_BGN_CML,Scrophularia_nodosa,direct match
Scrophularia_canina_258519_PHA008306_BGN_HNM,Scrophularia_canina,direct match
Scorzoneroides_crocea_379622_CAR008300_BGN_NPM,Scorzoneroides_crocea,direct match
Scorzoneroides_autumnalis_212686_TROM_V_961992_BXA_BQR,Scorzoneroides_autumnalis,direct match
Scorzonera_rosea_268356_PHA008296_BGN_HNK,Scorzonera_rosea,direct match
Scorzonera_aristata_261618_PHA008279_BGN_HBA,Scorzonera_aristata,direct match
Scirpus_sylvaticus_434052_PHA008262_BGN_BQK,Scirpus_sylvaticus,direct match
Scabiosa_columbaria_180561_TROM_V_173089_BXA_CIC,Scabiosa_columbaria agg.,direct match
Saxifraga_vandellii_1384031_PHA008195_BGN_NSN,Saxifraga_vandellii,direct match
Saxifraga_stellaris_90614_PHA008179_BGN_KE,Saxifraga_stellaris,direct match
Saxifraga_squarrosa_102737_PHA008177_BGN_NP,Saxifraga_squarrosa,direct match
Saxifraga_seguieri_1534586_PHA008173_BGN_IQR,Saxifraga_seguieri,direct match
Saxifraga_sedoides_134793_PHA008171_BGN_MBE,Saxifraga_sedoides,direct match
Saxifraga_retusa_retusa_1405365_PHA008163_BGN_LB,Saxifraga_retusa,direct match
Saxifraga_paradoxa_1534583_PHA008145_BGN_ALV,Saxifraga_paradoxa,direct match
Saxifraga_paniculata_102734_PHA008141_RSZ_RSZAXPI001344-43,Saxifraga_paniculata,direct match
Saxifraga_oppositifolia_29771_TROM_V_962908_BMB_AC,Saxifraga_oppositifolia,direct match
Saxifraga_mutata_demissa_1907915_CAR008131_BGN_NPK,Saxifraga_mutata,direct match
Saxifraga_muscoides_1534582_PHA008125_BGN_LHV,Saxifraga_muscoides,direct match
Saxifraga_hostii_rhaetica_1534581_PHA008109_RSZ_RSZAXPI000823-95,Saxifraga_hostii,direct match
Saxifraga_hohenwartii_1616302_PHA008107_BGN_LKV,Saxifraga_hohenwartii,direct match
Saxifraga_hieraciifolia_90602_PHA008102_BGN_NN,Saxifraga_hieraciifolia,direct match
Saxifraga_facchinii_134794_PHA008080_BGN_MBD,Saxifraga_facchinii,direct match
Saxifraga_exarata_moschata_134788_PHA008077_RSZ_RSZAXPI000826-18,Saxifraga_exarata,direct match
Saxifraga_depressa_134778_PHA008059_BGN_QN,Saxifraga_depressa,direct match
Saxifraga_cuneifolia_102722_TROM_V_965605_BXA_BSP,Saxifraga_cuneifolia,direct match
Saxifraga_crustata_102721_PHA010030_RSZ_RSZAXPI001350-79,Saxifraga_crustata,direct match
Saxifraga_caesia_102716_PHA008011_BGN_KR,Saxifraga_caesia,direct match
Saxifraga_burseriana_1534574_PHA008009_BGN_ALI,Saxifraga_burseriana,direct match
Saxifraga_bryoides_1385497_PHA008004_RSZ_RSZAXPI000959-99,Saxifraga_bryoides,direct match
Saxifraga_biflora_biflora_192742_PHA007995_RSZ_RSZAXPI000755-80,Saxifraga_biflora,direct match
Saxifraga_aspera_1385495_PHA010029_RSZ_RSZAXPI001330-51,Saxifraga_aspera,direct match
Saxifraga_aphylla_134768_PHA007985_BGN_QL,Saxifraga_aphylla,direct match
Saxifraga_androsacea_134767_PHA007983_BGN_QK,Saxifraga_androsacea,direct match
Saxifraga_aizoides_102714_PHA007979_BGN_IV,Saxifraga_aizoides,direct match
